There are   5036 grains.
Grainsize GrainFarea  GrainFeqR GrainFeqD GrainFsf GrainFfitEangle GrainFfitElongA GrainFfitEshortb GrainFasp
     76.00    78.125000   4.986779   9.973557   1.320147   9.433405   6.161759   4.035854   0.654984
     93.00    96.250000   5.535100  11.070199   1.422888 164.203667   6.982869   4.387498   0.628323
     25.00    26.041667   2.879118   5.758236   1.267925   2.718231   3.584413   2.312602   0.645183
    291.00   300.375000   9.778156  19.556312   1.504526 163.414787  12.260771   7.798232   0.636031
     24.00    25.500000   2.849018   5.698035   1.354269  49.886091   3.256160   2.492784   0.765559
    133.00   138.625000   6.642718  13.285437   1.577702  90.500777   8.028974   5.495809   0.684497
    153.00   157.000000   7.069275  14.138550   1.605529 155.213888  10.437108   4.788171   0.458764
    190.00   192.500000   7.827813  15.655626   1.485680 116.389955  10.066963   6.086707   0.604622
    240.00   245.000000   8.830964  17.661928   1.382819  76.845837   9.898544   7.878525   0.795928
      3.00     4.458333   1.191273   2.382546   1.427145 149.225599   1.587138   0.894145   0.563369
      5.00     5.750000   1.352879   2.705758   1.156232  72.283420   1.568134   1.167171   0.744306
      2.00     2.250000   0.846284   1.692569   1.206277 178.531268   1.148553   0.623565   0.542913
    109.00   112.250000   5.977481  11.954963   1.248734 147.938449   6.965807   5.129382   0.736366
     98.00   102.500000   5.711984  11.423968   1.429771  59.852528   7.011128   4.653569   0.663740
     35.00    36.000000   3.385138   6.770275   1.355392 110.577718   4.173092   2.745963   0.658016
     97.00   108.616667   5.879945  11.759891   1.543641 136.015466   8.228159   4.201883   0.510671
     25.00    28.000000   2.985411   5.970821   1.336561 127.815775   3.148078   2.831149   0.899326
     38.00    39.250000   3.534638   7.069275   1.316715 163.877924   4.164565   2.999993   0.720362
     87.00    89.750000   5.344933  10.689867   1.354406 151.963777   6.239132   4.578892   0.733899
     10.00    12.291667   1.978019   3.956038   1.309725 119.146450   2.300499   1.700744   0.739293
      7.00     8.500000   1.644881   3.289762   1.184570 116.980973   2.023950   1.336809   0.660495
     14.00    15.000000   2.185097   4.370194   1.371398 142.582519   2.371421   2.013412   0.849032
      2.00     3.750000   1.092548   2.185097   1.055058   1.342624   1.272916   0.937738   0.736685
     43.00    45.000000   3.784699   7.569398   1.499449  45.743382   3.935847   3.639355   0.924669
     39.00    40.500000   3.590481   7.180961   1.517871 146.322320   5.381215   2.395658   0.445189
     17.00    17.500000   2.360174   4.720349   1.539402 162.015802   3.397169   1.639725   0.482674
     66.00    69.375000   4.699228   9.398457   1.259643 124.487448   5.059266   4.364812   0.862736
     16.00    16.250000   2.274321   4.548642   1.288610 177.501285   2.439213   2.120576   0.869369
     80.00    85.083333   5.204120  10.408240   1.291518  75.608921   5.585413   4.848856   0.868129
     10.00    11.250000   1.892349   3.784699   1.163032 113.161528   2.214668   1.616940   0.730105
    348.00   356.625000  10.654448  21.308896   1.503912  19.549065  14.292310   7.942541   0.555721
     30.00    33.541667   3.267513   6.535027   1.461632  67.257524   4.447423   2.400636   0.539781
    127.00   134.583333   6.545167  13.090333   1.419234 173.822039   8.639576   4.958485   0.573927
     26.00    28.250000   2.998709   5.997418   1.277560  67.696984   3.136587   2.866892   0.914016
     18.00    18.750000   2.443013   4.886025   1.329925 112.671023   3.052421   1.955271   0.640564
    132.00   135.750000   6.573475  13.146949   1.300844  81.557390   7.399009   5.840048   0.789301
     45.00    50.500000   4.009320   8.018641   1.448329   5.768278   5.354702   3.001969   0.560623
     15.00    15.875000   2.247926   4.495851   1.241530  84.714317   2.709241   1.865160   0.688444
     44.00    46.750000   3.857588   7.715177   1.240661 140.730607   4.504965   3.303242   0.733245
     15.00    17.000000   2.326213   4.652426   1.208047 150.884927   2.730179   1.982020   0.725967
