Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
89	Aluminium	125	12.616	4	349.60	17.03	2.8254	98.032	0.92	4.92	26.50	32.46	83.29	True	no	88
90	Aluminium	44	7.4848	3	355.20	11.32	2.2091	126.53	0.32	0.59	137.20	43.65	20.03	True	no	89
91	Aluminium	14	4.222	2	359.50	8.71	2.2617	108.08	0.55	1.54	123.62	40.42	60.73	True	no	90
92	Aluminium	38	6.9558	4	385.05	11.34	1.9983	85.18	0.48	1.02	301.27	32.77	20.50	True	no	91
93	Aluminium	13	4.0684	1	177.31	9.00	1.2569	104.48	1.19	1.82	201.98	10.27	82.21	True	no	92
94	Aluminium	209	16.313	7	288.97	17.99	1.9944	93.853	1.02	2.46	313.49	22.33	9.80	True	no	93
95	Aluminium	73	9.6409	3	55.21	13.03	1.6099	118.87	0.97	2.36	57.81	9.30	29.99	True	no	94
96	Aluminium	12	3.9088	3	194.08	9.92	1.1691	178.81	0.34	0.54	166.16	43.66	6.71	True	no	95
97	Aluminium	13	4.0684	3	218.77	10.00	2.3944	83.887	0.69	1.63	332.02	40.25	83.67	True	no	96
98	Aluminium	13	4.0684	2	240.00	9.69	1.6113	90	0.36	0.61	302.85	8.50	54.21	True	no	97
99	Aluminium	234	17.261	7	276.93	16.35	1.206	121.82	0.92	3.05	89.14	28.25	43.49	True	no	98
100	Aluminium	31	6.2825	4	295.00	15.94	6.2155	87.862	0.69	1.59	316.63	21.68	6.28	True	no	99
101	Aluminium	75	9.772	4	336.07	15.56	2.0625	113.66	0.87	1.97	192.69	46.23	68.45	True	no	100
102	Aluminium	103	11.452	3	3.55	15.33	1.6937	76.822	2.14	4.66	311.94	39.08	4.95	True	edge	101
103	Aluminium	28	5.9708	2	49.04	12.89	1.5068	84.229	0.67	1.44	54.12	9.20	32.90	True	no	102
104	Aluminium	18	4.7873	2	78.33	14.83	4.88	80.291	1.15	2.39	350.87	46.10	28.17	True	no	103
105	Aluminium	13	4.0684	3	93.62	10.85	1.3979	155.56	0.51	1.34	317.14	18.73	1.07	True	no	104
106	Aluminium	19	4.9185	2	234.79	12.58	2.1102	80.677	0.30	0.60	128.52	21.06	80.95	True	no	105
107	Aluminium	16	4.5135	2	113.44	13.88	3.6991	85.824	0.77	1.38	257.32	38.86	33.44	True	no	106
108	Aluminium	24	5.5279	3	115.83	14.33	2.4714	86.415	0.66	2.11	257.75	38.50	34.18	True	no	107
109	Aluminium	97	11.113	6	125.53	15.35	1.3107	108.09	0.83	1.91	77.39	23.23	6.42	True	no	108
110	Aluminium	106	11.617	4	137.70	16.83	1.7235	76.496	1.32	3.12	162.34	22.43	21.71	True	no	109
111	Aluminium	195	15.757	6	171.12	19.88	1.6372	87.594	1.26	3.92	251.98	29.06	36.19	True	no	110
112	Aluminium	13	4.0684	3	221.08	11.54	1.5332	54.116	0.35	0.58	27.16	46.35	69.46	True	no	111
113	Aluminium	36	6.7703	2	297.78	14.44	2.0453	79.776	1.31	2.60	115.70	28.11	48.48	True	no	112
114	Aluminium	10	3.5682	2	40.70	12.60	1.0308	63.435	1.04	1.69	246.18	43.15	80.87	True	no	113
115	Aluminium	22	5.2926	4	61.18	15.41	2.5215	102.63	1.11	3.06	327.56	31.27	16.83	True	no	114
116	Aluminium	11	3.7424	2	63.09	12.36	1.4169	105.07	0.79	1.21	327.75	32.63	18.50	True	no	115
117	Aluminium	55	8.3683	3	132.07	18.40	3.7347	96.707	1.99	3.89	168.90	22.40	14.21	True	no	116
118	Aluminium	131	12.915	4	192.57	16.85	1.0378	123.87	0.77	3.09	67.25	42.95	49.68	True	no	117
119	Aluminium	13	4.0684	2	208.31	13.08	1.1571	118.76	0.49	0.80	173.80	41.27	78.49	True	no	118
120	Aluminium	109	11.781	5	102.22	19.88	2.1661	65.233	1.05	3.39	270.58	39.47	9.53	True	no	119
121	Aluminium	65	9.0973	3	180.89	17.51	1.1761	71.197	0.67	1.60	158.20	36.66	76.25	True	no	120
